process,systematic,variation,bin,edge_lo,edge_hi,value
Other_Higgs,,nominal,0,0.0,0.0009567917389306952,0.020528114070866497
Other_Higgs,,nominal,1,0.0009567917389306952,0.0011761846848516988,0.023118971764511203
Other_Higgs,,nominal,2,0.0011761846848516988,0.0014056492364034057,0.027850679137999934
Other_Higgs,,nominal,3,0.0014056492364034057,0.0016879615058736856,0.031672077749132804
Other_Higgs,,nominal,4,0.0016879615058736856,0.002029518495153339,0.03656540137050006
Other_Higgs,,nominal,5,0.002029518495153339,0.0024498090280613213,0.04866276809348227
Other_Higgs,,nominal,6,0.0024498090280613213,0.0029563838476912704,0.06004600790174902
Other_Higgs,,nominal,7,0.0029563838476912704,0.003557510286689314,0.06657013807971685
Other_Higgs,,nominal,8,0.003557510286689314,0.004267894997991053,0.07516403129655896
Other_Higgs,,nominal,9,0.004267894997991053,0.0050779368864586815,0.08101440928336423
Other_Higgs,,nominal,10,0.0050779368864586815,0.006105206239196243,0.08338022076923907
Other_Higgs,,nominal,11,0.006105206239196243,0.007522517248260182,0.09652112336234353
Other_Higgs,,nominal,12,0.007522517248260182,0.009719243336259968,0.11834290766610733
Other_Higgs,,nominal,13,0.009719243336259968,0.013643487834444395,0.20693657903513607
Other_Higgs,,nominal,14,0.013643487834444395,0.022087249077993153,0.6839463501128105
Other_Higgs,,nominal,15,0.022087249077993153,0.04393358703334,2.4678240902529174
Other_Higgs,,nominal,16,0.04393358703334,0.10073404070562539,5.469719950648552
Other_Higgs,,nominal,17,0.10073404070562539,0.23767632438315117,8.846357398589145
Other_Higgs,,nominal,18,0.23767632438315117,0.4957539730742803,13.867225966097632
Other_Higgs,,nominal,19,0.4957539730742803,1.0,22.966116484835943
Other,Higgs_CMS_ctag2d,Down,0,0.0,0.0009567917389306952,0.02092510149352504
Other,Higgs_CMS_ctag2d,Down,1,0.0009567917389306952,0.0011761846848516988,0.022702471546185824
Other,Higgs_CMS_ctag2d,Down,2,0.0011761846848516988,0.0014056492364034057,0.027902846348492882
Other,Higgs_CMS_ctag2d,Down,3,0.0014056492364034057,0.0016879615058736856,0.031487158954227226
Other,Higgs_CMS_ctag2d,Down,4,0.0016879615058736856,0.002029518495153339,0.03683669232070855
Other,Higgs_CMS_ctag2d,Down,5,0.002029518495153339,0.0024498090280613213,0.0487316931986094
Other,Higgs_CMS_ctag2d,Down,6,0.0024498090280613213,0.0029563838476912704,0.059289661089043905
Other,Higgs_CMS_ctag2d,Down,7,0.0029563838476912704,0.003557510286689314,0.06730917343684309
Other,Higgs_CMS_ctag2d,Down,8,0.003557510286689314,0.004267894997991053,0.07531361413433835
Other,Higgs_CMS_ctag2d,Down,9,0.004267894997991053,0.0050779368864586815,0.08166760342944479
Other,Higgs_CMS_ctag2d,Down,10,0.0050779368864586815,0.006105206239196243,0.08478700553136098
Other,Higgs_CMS_ctag2d,Down,11,0.006105206239196243,0.007522517248260182,0.09647435478413713
Other,Higgs_CMS_ctag2d,Down,12,0.007522517248260182,0.009719243336259968,0.11983618649300776
Other,Higgs_CMS_ctag2d,Down,13,0.009719243336259968,0.013643487834444395,0.21028901435199354
Other,Higgs_CMS_ctag2d,Down,14,0.013643487834444395,0.022087249077993153,0.7061875069562058
Other,Higgs_CMS_ctag2d,Down,15,0.022087249077993153,0.04393358703334,2.526296265377666
Other,Higgs_CMS_ctag2d,Down,16,0.04393358703334,0.10073404070562539,5.5856174403353
Other,Higgs_CMS_ctag2d,Down,17,0.10073404070562539,0.23767632438315117,9.006660704707778
Other,Higgs_CMS_ctag2d,Down,18,0.23767632438315117,0.4957539730742803,14.061495870523842
Other,Higgs_CMS_ctag2d,Down,19,0.4957539730742803,1.0,22.623022225142435
Other,Higgs_CMS_ctag2d,Up,0,0.0,0.0009567917389306952,0.019382295419503644
Other,Higgs_CMS_ctag2d,Up,1,0.0009567917389306952,0.0011761846848516988,0.027779664770443916
Other,Higgs_CMS_ctag2d,Up,2,0.0011761846848516988,0.0014056492364034057,0.028901168570277233
Other,Higgs_CMS_ctag2d,Up,3,0.0014056492364034057,0.0016879615058736856,0.036108034059598615
Other,Higgs_CMS_ctag2d,Up,4,0.0016879615058736856,0.002029518495153339,0.040375743958252566
Other,Higgs_CMS_ctag2d,Up,5,0.002029518495153339,0.0024498090280613213,0.05311203615609478
Other,Higgs_CMS_ctag2d,Up,6,0.0024498090280613213,0.0029563838476912704,0.06568130287844509
Other,Higgs_CMS_ctag2d,Up,7,0.0029563838476912704,0.003557510286689314,0.07337632143514194
Other,Higgs_CMS_ctag2d,Up,8,0.003557510286689314,0.004267894997991053,0.0867868642052993
Other,Higgs_CMS_ctag2d,Up,9,0.004267894997991053,0.0050779368864586815,0.089603498018961
Other,Higgs_CMS_ctag2d,Up,10,0.0050779368864586815,0.006105206239196243,0.08937449518351781
Other,Higgs_CMS_ctag2d,Up,11,0.006105206239196243,0.007522517248260182,0.10703932105066949
Other,Higgs_CMS_ctag2d,Up,12,0.007522517248260182,0.009719243336259968,0.1370200094611692
Other,Higgs_CMS_ctag2d,Up,13,0.009719243336259968,0.013643487834444395,0.2354427016494015
Other,Higgs_CMS_ctag2d,Up,14,0.013643487834444395,0.022087249077993153,0.758495802580766
Other,Higgs_CMS_ctag2d,Up,15,0.022087249077993153,0.04393358703334,2.7603989426335316
Other,Higgs_CMS_ctag2d,Up,16,0.04393358703334,0.10073404070562539,6.064991576872851
Other,Higgs_CMS_ctag2d,Up,17,0.10073404070562539,0.23767632438315117,9.402270318740594
Other,Higgs_CMS_ctag2d,Up,18,0.23767632438315117,0.4957539730742803,14.533534657433563
Other,Higgs_CMS_ctag2d,Up,19,0.4957539730742803,1.0,25.97346439725556
Other,Higgs_CMS_eff_e_reco_20to75,Down,0,0.0,0.0009567917389306952,0.02050422695204744
Other,Higgs_CMS_eff_e_reco_20to75,Down,1,0.0009567917389306952,0.0011761846848516988,0.023050961140455857
Other,Higgs_CMS_eff_e_reco_20to75,Down,2,0.0011761846848516988,0.0014056492364034057,0.027707602048406423
Other,Higgs_CMS_eff_e_reco_20to75,Down,3,0.0014056492364034057,0.0016879615058736856,0.03144199133475116
Other,Higgs_CMS_eff_e_reco_20to75,Down,4,0.0016879615058736856,0.002029518495153339,0.03624532543482124
Other,Higgs_CMS_eff_e_reco_20to75,Down,5,0.002029518495153339,0.0024498090280613213,0.04820214424392305
Other,Higgs_CMS_eff_e_reco_20to75,Down,6,0.0024498090280613213,0.0029563838476912704,0.05943437617078226
Other,Higgs_CMS_eff_e_reco_20to75,Down,7,0.0029563838476912704,0.003557510286689314,0.06587374836529802
Other,Higgs_CMS_eff_e_reco_20to75,Down,8,0.003557510286689314,0.004267894997991053,0.0742569358045686
